,business_address,review_author,review_date,review_rating,review_content,category_ratings
17,"5932 SE Federal Hwy, Stuart, FL 34997",Yolanda Rodriguez,2024-06-04,1,Poor customer Service!  I was in the drive thru for about 15 min. Patiently waiting. I pulled around to the front to walk in and the door was locked. An employee or manager walked up didn't acknowledge me and unlocked the door locked the door back up in front of me as I was asking if they were closed. Mind you it's 630 by now and they supposedly open at 5:30.  The service at this location is continously a negative star rating for me. Save yourself the stress and go to another location! I would give a negative star rating if it was possible,Food:1 | Service:1 | Atmosphere:1
18,"5932 SE Federal Hwy, Stuart, FL 34997",Elena Alfano,2024-06-04,5,Mario at the register was super sweet and accommodating. I’ve had a rough day with the kids and this man was very caring and compassionate. I appreciate the hospitality on a hard day. I made sure to ask for his name so I could mention him. Thanks Mario!,
19,"5932 SE Federal Hwy, Stuart, FL 34997",Nataliia Babiak,2024-06-04,1,"Since when it's okay to tip yourself without the cardholder permission?! This happened once couple of days ago and I let it slide, but today it happened again and it just made me very upset. I guess that was the last time I got a coffee there. Shame! And most of the time if they give me an option to leave them I tip I do without a hesitation, but not themselves without my approval. I'm wondering if it happened to anyone else at that location.",
20,"5932 SE Federal Hwy, Stuart, FL 34997",J S,2024-06-04,1,"This drive through is ridiculously slow. It’s been slow for a good 4 months now. The staff is rude to say the least. Cove road slams the window in your face after handing you your items and doesn’t ask if you need napkins or straw. They roll eyes or have an attitude if you do ask for one, I don’t get it you work at a place that sells mainly drinks SO OFFER A STRAW! It’s not coming out of your pockets, you guys order straws for a reason. I get not giving straws if you’re limited that day or not giving out extras, but come on have some customer service and offer.",Food:2 | Service:1
21,"5932 SE Federal Hwy, Stuart, FL 34997",Ahmad Vazquez,2025-04-05,4,Hot or cold lol depends on the day but I understand,Food:4 | Service:4 | Atmosphere:4
22,"5932 SE Federal Hwy, Stuart, FL 34997",Dallas Waddell,2023-06-05,5,"Marcella and Ava (may not be spelling it right) are the best! Excellent customer service skills exhibited on a regular basis. Consistently upbeat, helpful, and friendly.

Management, as a frequent visitor of your store, I ask you to recognize these individuals who are a huge part of why I continually return here as opposed to other locations.",
23,"5932 SE Federal Hwy, Stuart, FL 34997",Gyshanti Welvaart,2024-06-04,1,"If I could give 0 stars, I would do that.
I came to pick up my mobile. I had it set initially for Drive thru ,but there was a very long line and I came inside since I ordered it 20 minutes prior.
This short Caucasian lady in the store didn’t even greet me. She just started screaming Mobile?
And I told her that it’s for drive thru and I came inside to pick it up. She didn’t even let me finish speaking. She cut me off mid sentence and screamed NAME.
I’ve had bad experiences at this Starbucks before but it keeps getting worst every time.
Very bad customer service for a coffee shop like Starbucks.
I will not be coming back.",Service:1
24,"5932 SE Federal Hwy, Stuart, FL 34997",David Donohue,2025-04-05,5,Great outdoor sitting area gets a nice breeze,Food:5 | Service:5 | Atmosphere:5
25,"5932 SE Federal Hwy, Stuart, FL 34997",J Hayford,2023-06-05,5,"This is a great Starbucks with an amazing crew.  Our family has been coming here for over 10 years.

The team is always friendly, and the beverages and food are always prepared well. The perfect neighborhood coffee place!  Couldn't start my day without it.  5 stars.",
26,"5932 SE Federal Hwy, Stuart, FL 34997",Prod. by GygaHurts,2023-06-05,1,"Me and my wife have been loyal customers to this location for a couple years now. We used to go near daily that dropped to weekly, and most recently we would give them the benefit of the doubt and go about once a month. Im not sure what happened to this location but it has absolutely nose dived in quality. Your coffee will either taste like burnt grounds or straight up milk with no in between.

We aren’t even very picky, we usually take what we get even if its not perfect but theres a massive difference between not perfect and straight up gross. We don’t have complicated orders and tipped every single time. But for over priced coffee, im going to go somewhere else that will make it correct.

Side note: all the nice and great employees no longer work there which makes me think this is absolutely a management issue. Nothing against anyone who works there now, its most likely not their fault.

Its a bit disappointing as this is such a convenient location but we won’t be back, maybe ill try again in a year and see what has changed.

Edit: adding this edit after the “owner” responded. Yeah dude obviously the drinks can be remade but at a certain point when every single drink needs to be remade it can make the customer feel kinda bad or weird. I don’t want whatever free stuff you’re going to offer me from the email you listed. Just fix your store or better yet, the management here. According to reviews I’m not the only one that feels this way",
27,"5932 SE Federal Hwy, Stuart, FL 34997",Michelle D,2024-06-04,5,"I can't really read the experience inside the store since I typically order ahead and just grab and go!However, I have to say the stuff is always helpful, friendly, and professional, and I go there almost every day!",
28,"5932 SE Federal Hwy, Stuart, FL 34997",Tyrone Monte,2024-08-08,1,"I only went in order to accompany a friend I had not seen in a while.

It was noisy with that awful loudspeaker pumping out atrocious so-called music, add to that people shouting in order to be heard and limited seating.  Okay!

Let's talk coffee? Awful. Strong, bitter and over rated. Over priced!

The Baristas are friendly. Long wait for order.

Guess why I go elsewhere three times a week? And I spend less for a much better cup of fresh ground coffee from exotic places..Hawaiian Kona, Jamaica Blue Mtn., Papua New Guinea, Central & South America, Ethiopian Yrgicheffe, Rwanda Peaberry, and more!

Guess what? I see the beans! I pick the Beans and they're ground before my eyes, steeped and served quickly, less than $3, and the smiling faces know my name and welcome me warmly. WiFi, ample seating, Plus, home baked muffins, scones, Strudel, Bulgarian pastries (Borak) and nourishing quick bites.  yep going there again Today and taking friends with me. Right here in Stuart.",Food:2 | Service:2 | Atmosphere:1
29,"5932 SE Federal Hwy, Stuart, FL 34997",GasWorx (GasWorx),2024-06-04,5,"This is my daily visit..I'm hooked so I own the stock..lol
Cold brew is my drink and my wife like vanilla flat..something like that..app make it easy..just click on previous and I roll thur line outside..everyone know me by name",Food:5 | Service:5 | Atmosphere:5
30,"5932 SE Federal Hwy, Stuart, FL 34997",Belle Swartwood,2022-06-05,5,Always great coffee and I've always had my drinks made exactly how I want them.. I have the Starbucks app and I register my Starbucks card so the benefits are stars for free food and drinks and there's always bonuses to double your stars so the rewards are often which is really nice. The cake pops are really good and so are the sandwiches other than that the boxed meals are mainly for convenience.,
31,"5932 SE Federal Hwy, Stuart, FL 34997",Justin Welvaert,2022-06-05,2,80% of the time I come here to get a impossible breakfast sandwich they are out. Management is doing a poor job staying on top of food ordering in my opinion.  I understand wanting food cost down and not wasting food because of spoilage but if your constantly out of an item order more and figure it out or get another job. Very frustrating as it's been happening for over a year.  Drinks are always done great though. Just please put more effort in the food department.,
32,"5932 SE Federal Hwy, Stuart, FL 34997",Erick Rivera,2024-06-04,5,"Nice place to get coffee and sandwich, very peaceful.",Food:4 | Service:5 | Atmosphere:5
33,"5932 SE Federal Hwy, Stuart, FL 34997",Karen Lovoi,2021-06-05,5,I have never had a problem with Starbucks it's always amazing. The food and coffee is fabulous!,
34,"5932 SE Federal Hwy, Stuart, FL 34997",Crystal G.,2024-06-04,2,"Drinks are consistently made wrong, standard drinks such as a Caramel Macchiato, or the Brown Sugar Oatmilk Shaken Espresso. I have received the wrong food item numerous times now. And the drive through is always closed with a piece of paper taped over the box, so you have to go inside. It’s a convenient location , but it has gone down hill the last 5 months or so.",
35,"5932 SE Federal Hwy, Stuart, FL 34997",Staci Wilson,2024-06-04,3,"Friendly, helpful service. Sometimes a very long wait time even when the line is short. Wi-fi was not working last time I went, luckily McDonalds next door had a strong signal.",Atmosphere:4
36,"5932 SE Federal Hwy, Stuart, FL 34997",Michelle Calvanese,2022-06-05,5,"Everyday for the past few months around 5am I order at the drive-thru with my baby in tow and the experience has become a special part of our morning routine that I look forward to each day. The staff are always warm and friendly, some of them even knowing my name and my coffee order by heart which always makes me smile. These are the first people I see in the morning and they always brighten my day and put me in a good mood. Of course I’m thankful for the caffeine that gives me the energy to get through the morning but above all I’m grateful for this group of people that are awake as early as me and making a difference in their customer’s days.",
37,"5932 SE Federal Hwy, Stuart, FL 34997",Jeroma Atkins,2023-06-05,1,The baristas here are usually nice at this location however The young lady Gemma is extremely rude and unpleasant. I’m not sure if she was having a bad day but I’ve never had a barista act towards in such a manner. I will be switching locations and informing my co workers about the experience,
38,"5932 SE Federal Hwy, Stuart, FL 34997",N M,2024-06-04,5,"This is really only the Starbucks I go to and they never disappoint. I've never had a bad experience. Even if you're going there for a cup of water, they'll be as nice as ever.",Food:5 | Service:5 | Atmosphere:5
39,"5932 SE Federal Hwy, Stuart, FL 34997",Andy Marchion,2024-06-04,1,Could one place possibly be any slower? It was a rhetorical question. Apparently it's too hard to find good help these days. I have literally been waiting in line for 40 minutes for a COFFEE. Who ever is the manager of this place should be fired.,Food:1 | Service:1 | Atmosphere:2
40,"5932 SE Federal Hwy, Stuart, FL 34997",Christopher Hammontree,2024-06-04,5,This Starbucks has been pretty consistent So that’s a good thing right? All in all the drinks I have purchased from here have been made well and the staff are cordial when I walk into the store.,Service:5 | Atmosphere:5
41,"5932 SE Federal Hwy, Stuart, FL 34997",CR B,2018-06-06,5,Superb location!  These folks simply do Starbucks better than most.  They know their customers and make a special effort that makes us all feel valued as a customer.  For example they know i like my Starbucks fresh so they know before i get to the register which was brewed most recently.  I see similar behaviors with other customers also.  It's almost like family to visit here.  Store is always super clean and they keep track of workload somehow so there's never a long wait even if the line gets long from a bunch of people wl king in at once.  This location is just better than the one closer to Stuart so I'll go out of my way to travel here.  Management and staff here seem to work together better to make the customer experience differentially better.,
42,"5932 SE Federal Hwy, Stuart, FL 34997",Virginia Russo,2021-06-05,5,The employees are always nice and the drinks are always what you expect.  Always happy with my purchase.,
43,"5932 SE Federal Hwy, Stuart, FL 34997",Francesco Agrusa,2023-06-05,1,I am a loyal Starbucks for ever customer however I’m not sure what is going on at this Starbucks on Cove Rd and US1 in Stuart. Everything from paying attention to customers to having their drive through close do to shortage of help. This place does not represent what Starbucks represents. Terrible service.,
44,"5932 SE Federal Hwy, Stuart, FL 34997",Christopher Micheal,2024-06-04,3,saddened this is the second time i have been all new staff kinda immature. once they did not have change for $100 and another time they disnt have change for a $50 really $10 drinks plus more per ticket,Food:3 | Service:3 | Atmosphere:2
45,"5932 SE Federal Hwy, Stuart, FL 34997",Ren Turner,2023-06-05,3,Went through this morning around 5:30 am and the employee at the window was cursing up a storm. She had no regard for the customer at the window. She was very unprofessional. She was kind to me but the cursing in the morning was not a good start to the day. Please teach your employees to not curse in front of customers.,
46,"5932 SE Federal Hwy, Stuart, FL 34997",liz c,2023-06-05,5,"in the past couple months they have gotten much faster and my drinks have been accurate and very good!!! chrissy and jemma are the nicest employees and are always so helpful. i used to avoid this location due to wait times and inaccurate orders, i’m so impressed with some of the new staff and their improved customer service",
47,"5932 SE Federal Hwy, Stuart, FL 34997",Jennifer Venezia,2022-06-05,1,"I hit Starbucks almost daily but usually Palm City or the one on Federal by Monterey. The  times I’ve been to this Starbucks is when I’m headed south & there isn’t another until Indiantown rd. Each time I’ve been to this store, the wait time at the drive through is beyond slow! If you’re stopping here on a time schedule, you may want to second guess that idea because you’ll be late for sure. I wouldn’t write a review for super slow service however, today when I visited, I was amazed by the lack of customer service skills at this store. The girl at the drive through was not only super rude but apparently heard of hearing as she heard “grande almond milk with SF vanilla” and left out the coffee completely! I ordered a grande latte with almond milk and sugar free vanilla and only received milk with SF vanilla syrup in it and yhey actually charged me for the latte! Sadly, I realized it once I was already back on federal and had to buy another from another store. I’ll never be back to this Starbucks and I really hope they get some better employees.",
48,"5932 SE Federal Hwy, Stuart, FL 34997",Sean Ormerod,2017-06-06,4,Great service. This is what really should be the standard that is normal for a Starbucks. They remembered me after my first visit. Where pleasant and efficient. The quality of the product I had over a few visits was consistent and the store always clean.,
49,"5932 SE Federal Hwy, Stuart, FL 34997",Bradley Chafe,2020-06-05,3,"I have only gone through the drive-thru at this location. So my experience is limited. 80% of the time my order is correct. The 20% of the time my order fails due to either the speaker not hearing me clearly or the person taking the order is very chipper and talks over me. Mind you, these are not bad things. I will keep coming here for my morning fix.",
50,"5932 SE Federal Hwy, Stuart, FL 34997",Toni Seegmiller,2023-06-05,1,Don’t get me wrong I love the morning shift!! But the people in the afternoon are rude and do not care if they have customers or not. I did a mobile order and waited 30 mins once I got there.,
51,"5932 SE Federal Hwy, Stuart, FL 34997",Lexie Palaskas,2022-06-05,5,I’ve been coming here (almost) daily for about a year now. The service from the staff is excellent. Most days I don’t even have to order as they recognize me as soon as I get to the order station in the drive thru. I’ve never had a bad expierience. I choose to come here rather than the starbucks literally next to my job. 10000/10 stars if i could lol.,
52,"5932 SE Federal Hwy, Stuart, FL 34997",Stephanie Cordova,2020-06-05,5,"I am a stay at home mom by day, and a late night pizza delivery driver by night; so by the time I come by for my before-shift caffeine kick, you can imagine I've already had a pretty exhausting day. That's where my wonderful baristas work their magic! I am always greeted by name, with a warm smile and a kind word. Each person I've had the pleasure of interacting with has gone above and beyond my particular expectations of genuine hospitality, and has exhibited pride and integrity in their work. Thank you all for always helping me start my shift with a smile on my face. Keep up the great work!",
53,"5932 SE Federal Hwy, Stuart, FL 34997",Anna Risotti,2023-06-05,1,"This store needs to get it together, understaffed, lines 15 cars deep in the drive-through. Maybe it's time to open another store in Hobe Sound/South Stuart because I'm
forced to go to Dunkin' on days like this. Why is the inside closed?!",
54,"5932 SE Federal Hwy, Stuart, FL 34997",Alicia Tomasulo,2022-06-05,1,"This store used to run like clockwork. However, the last couple years this place has gone downhill fast. Whoever redesigned the interior, went backwards instead of forwards. Every time we are in the drive thru it takes a year and a day. This place could use some serious help.",
55,"5932 SE Federal Hwy, Stuart, FL 34997",Expesially Expresso,2024-06-04,1,"They closed for renovation Sadie they were going to be open I think the eleventh the first time, then they said the nineteenth. I go there on the nineteenth and now they say Friday maybe. They’re taking half the seating away and it looks like they are putting uncomfortable chairs in. I think they’re tired of having costumers. Dunkin opened on time and closed later.",Service:4 | Atmosphere:1
56,"5932 SE Federal Hwy, Stuart, FL 34997",ศิริชัย วิสัยบุญ,2024-12-06,5,I’m going to get here almost 6years and I’m get here Every Day Everything nice,Food:5 | Service:5 | Atmosphere:5
57,"5932 SE Federal Hwy, Stuart, FL 34997",Brandon Esparza,2017-06-06,5,This is one of our favorite Starbucks to go to. It's great especially to get some work done as it has a lot of space everywhere to sit down. The people who work there are also a great group of people. A great place to meet people have and have an Americano (I don't care much for their brew).,
58,"5932 SE Federal Hwy, Stuart, FL 34997",Briana Frey,2023-06-05,5,As soon as I walked in I felt so welcomed by the staff that was working this morning. They are so sweet and got my order ready in under a minute. They all deserve raises :),
59,"5932 SE Federal Hwy, Stuart, FL 34997",Suzanne Sinclair,2018-06-06,5,My 'goto' Starbucks in Stuart. The staff is always friendly. They are quick - inside and through the drive-thru. Always get my drink right. My power went out once and I sat at the front window of the Starbucks for about 3 hours with my coffee and PC. Just a great place all around. Enjoy!,
60,"5932 SE Federal Hwy, Stuart, FL 34997",Andy Perry,2019-06-06,5,"What I like about this Starbucks is first its location - it's convenient - between downtown Stuart and Hobe Sound. I'm a dog person so I always look for a patios and this one is really good. It actually has several soft, cushy chairs which is unusually luxurious. Nice place to hang out.",
61,"5932 SE Federal Hwy, Stuart, FL 34997",Legion Wolf,2019-06-06,3,"Started off with five stars until they charged me for something simple that I've never been charged for in my entire membership of Starbucks which would be about 2 years now, and going strong other than that the store here at Hobe Sound Florida is very clean with very nice customers, and employees aside from the one that was worried about charging me for a minor 8 cents on a refill for a member which should be free which caused me aggravation.

Other than that I give  3 stars.

Stop being petty Starbucks is a multi-million dollar corporation.",
62,"5932 SE Federal Hwy, Stuart, FL 34997",Lynnea k,2019-06-06,4,"Never had my order wrong at this Starbucks, and the morning crew is always upbeat and quick. Theyre pretty busy around 730/8 so mobile order and pick up inside is quickest. Even still, ive ordered via mobile at 745 in the parking lot then went inside immediately, and ive never waited longer than 5 minutes. Much prefer cove rd to Monterey!",
63,"5932 SE Federal Hwy, Stuart, FL 34997",Kim Flanagan,2020-06-05,5,"I spent a few hours working on my laptop there today. I observed the staff being upbeat, friendly, efficient to every customer who walked in or come through the drive through. Great atmosphere.",
64,"5932 SE Federal Hwy, Stuart, FL 34997",Brenton White,2018-06-06,5,"Just fantastic service. Ordered a Green tea and had an amazing experience. The employee's name was Ryan! Very Friendly! amazing customer service!! Will come again, hope Ryan is their next time!",
65,"5932 SE Federal Hwy, Stuart, FL 34997",MaryLou Greisen,2024-08-08,1,Literally worst Starbucks ever. Every time I go here they mess up my order.,Food:1 | Service:1 | Atmosphere:1
66,"5932 SE Federal Hwy, Stuart, FL 34997",Ben Franklin,2025-03-06,2,"It's my local SB and I've tried multiple times to come back, but service is terrible, prices far too high and everything tastes like processed junk.",Food:2 | Service:2 | Atmosphere:2
67,"5932 SE Federal Hwy, Stuart, FL 34997",Rick Green,2024-06-04,3,Weird rule about stir sticks and sea turtles  not available here. Also they have a hard time getting orders right for some reason.,Food:3 | Service:3 | Atmosphere:3
68,"5932 SE Federal Hwy, Stuart, FL 34997",Tammy Werthem,2020-06-05,3,"Coffee is great
Staff is friendly.

But please clean your store. There were flies in the food case. Floor was disgusting.   Tables needed cleaning. Trash was overflowing.

Won't  be back inside for awhile",
69,"5932 SE Federal Hwy, Stuart, FL 34997",Brandy Carlton,2017-06-06,5,"I've been coming here almost everyday through the Drive thru for about three months now and I get a strawberry acai refresher and sometimes banana nut bread. Love the staff, love the food! Never seems to disappoint :D They're so quick and as a person who works with a drive thru I can appreciate that!",
70,"5932 SE Federal Hwy, Stuart, FL 34997",Donna Makeup and Skincare,2023-06-05,5,"I love this location. I always get Gemma to make my drink. She gets it perfect every time and is always happy, smiling and helpful.",
71,"5932 SE Federal Hwy, Stuart, FL 34997",Kb Coleman,2022-06-05,1,Their hours are until 9 o’clock just waiting at the drive-through at 8:30 no one came on the speaker so I drove around two employees walked past the window stared right at me and did not say a word or come to the window. Terrible customer service. Just say you closed early - don’t ignore people.,
72,"5932 SE Federal Hwy, Stuart, FL 34997",Renata Andrejszky,2018-06-06,5,This location is just absolutely wonderful! I go here every morning before work and the coffee is always delicious and perfect! The staff members are very pleasant and friendly!,
73,"5932 SE Federal Hwy, Stuart, FL 34997",Kristine Wolcott,2022-06-05,1,"i just went to this starbucks and got a Venti Chocolate Almond Milk Espresso, while i was drinking it down the highway i found a bug in my drink!! It wasn’t like a chunk of coffee beans or anything along the line, you can clearly see the legs and wings of the gnat. I’m so disgusted, please double check your drink while ordering from here.",
74,"5932 SE Federal Hwy, Stuart, FL 34997",Marie's S Favorites,2022-06-05,5,This Starbucks has fast service. Not like others in the area where you sit in line forever through the drive thru. The employees are always very kind and friendly. Excellent customer service!,
75,"5932 SE Federal Hwy, Stuart, FL 34997",Audrey Brodie,2022-06-05,5,"Typical Starbucks. Nice coffee accessories,  friendly service and the full menu of beverages and food items. We were inside buying a gift, gift cards and coffee related Starbucks accessories make great gifts.",
76,"5932 SE Federal Hwy, Stuart, FL 34997",K J,2018-06-06,5,"In my experience, this is the best Starbucks in town. The staff is super friendly, and the atmosphere is actually that of a hometown coffee shop. The baristas are always thoughtful and seem like they want to make your beverage ""just right.""",
77,"5932 SE Federal Hwy, Stuart, FL 34997",David Fiessinger,2022-06-05,3,"Nice staff.  No tables inside open for customers,  menu signs to small for these old eyes. Extremely expensive my coffee didn't taste good today and this was my first time at this location. ",
78,"5932 SE Federal Hwy, Stuart, FL 34997",Luis Armando,2024-06-04,1,"I get to do an order, I tell one of the two girls that if I can order, they tell me to wait for me, I go to the bathroom and when I come back, she still doesn't attend to me and I see her checking messages on her phone, I had to go because I didn't have time for that terrible service.",Service:1
79,"5932 SE Federal Hwy, Stuart, FL 34997",Amanda Lane,2022-06-05,1,The drive-thru is impossibly slow at this location. There is always a long line of vehicles at every time of the day and I never spend less then 15 minutes waiting in the car. If they aren’t equipped for a drive-thru with enough staff so as not to have to multitask then they shouldn’t have one.,
80,"5932 SE Federal Hwy, Stuart, FL 34997",Monique Pierpont,2023-06-05,5,"Very neat and clean and the service was perfect.
Can't get enough of my chai tea latte 
The pumpkin bread was amazing, especially warmed up!",Food:5 | Service:5 | Atmosphere:5
81,"5932 SE Federal Hwy, Stuart, FL 34997",Jules,2020-06-05,1,This location continuously messes up orders and are so slow.  They take 20+ minutes to serve a coffee which is rediculous and they tried to say they were busy when they only had a couple people in line.  They also cannot count money.  Two times I was owed money and they couldnt understand what happened.,
82,"5932 SE Federal Hwy, Stuart, FL 34997",Tim Ortega,2019-06-06,2,"Their corporate politics suck which can ruin a simple expensive cup of coffee. Without the company politics the staff is good and you pay big prices even at this store. If being chic is your thing, go for the higher priced, sugar bound brews that are hard to pronounce and so are their chemical compositions.

IF YOU ARE A STARBUCKS GROUPIE THIS STORE IS AVERAGE IF YOU DONT MIND AVERAGE FOR STARBUCKS. OF COURSE MORE AVERAGE IS DUNKIN' D'S AND THERE YOU CAN AFFORD TO BUY A ROUND FOR THE HOUSE!

HAVE FUN!",
83,"5932 SE Federal Hwy, Stuart, FL 34997",D C,2020-06-05,4,"I used to go every day, id give it five stars but the prices are rediculous honestly. I go once in awhile now because i was spending over 40/ 50 bux a week just on coffee not even their food. Also, McDonald's regular iced coffee is just as good as their regular ice coffee. And i dont do mcdonalds anymore just for the ice coffee.",
84,"5932 SE Federal Hwy, Stuart, FL 34997",Joe Shewmaker,2017-06-06,2,"Guess I am missing something but not sure about the fascination with Starbucks. Coffee is overpriced and is it really necessary to make noise to make coffee? Everything is pretentious, including the ordering process. Thanks I will make my own excellent coffee at home.",
85,"5932 SE Federal Hwy, Stuart, FL 34997",Nicole Watson,2020-06-05,1,The girl was amazingly sweet at the window as we were pulling in right before closing which i did not realize or i would not of stopped ..that being said the manager made sure he walked to the window to look at his watch to make me feel horrible with a disgusting glare at me for good measure..all they had to say was they r closing and i would of been on my way....again the girl was amazing as i apologized for the late stop but to the manager ..if u hate your life that much..move on with your life you obviously should not be in public!,
86,"5932 SE Federal Hwy, Stuart, FL 34997",Allison H,2023-06-05,5,The **nicest** neighborhood Starbucks with good service and a decent outdoor seating area. Manager must be doing something right to keep everyone so chipper and helpful!,
87,"5932 SE Federal Hwy, Stuart, FL 34997",Jonathan Teal,2022-06-05,5,Would recommend a Trenta pink drink with salted caramel cold foam ,
88,"5932 SE Federal Hwy, Stuart, FL 34997",Peter Rothwell,2022-06-05,5,"I shop at the Cove Road Stuart Starbucks because it is closest to Hobe Sound.  Still can’t drink my coffee inside due to Covid 19.  The outside chairs and umbrellas are dirty, with lots of trash and leaves on the ground. The outside area is never cleaned and it needs to be addressed for health and safety.

7 Months Later: This snowbird just got back to Florida and noticed a big turn around re: the cleanliness at Starbucks on Cove Road. Both inside and out, the shop is 4.0 in cleanliness.  Thanks.",
