business_address,review_author,review_date,review_rating,review_content,category_ratings
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Pablo Jim,2021-06-10,1,"The worst service and manners of any establishment in Martin County. They do not speak up while taking your order. The wait time for a bagel and a coffee was 25 minutes. I ordered a bagel toasted and with cream cheese. I received a partially cut, warm bagel, with no cream cheese or utensils. I recommend you take your business elsewhere to a place where the workers are professional.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Damien McGhan,2021-06-10,1,This has got to be the most incompetent Starbucks I have ever been to. I have been here 4 times because they are right by my house and ALL 4 times they have failed to get my drink right the first time. This last was definitely the last time. The staff is extremely rude at likes to point blame at the customer for inability to follow directions. I’ve had it I’m done. Every other Starbucks in he country can somehow get my drink right but you troglodytes cannot.,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",kirsten jones,2020-06-10,1,Worst experience ever at this Starbucks. Used to be a regular and talk very highly of this Starbucks. This morning at 530 am the lady at the drive through window talked to the lady in the car in front of me for 5 minutes while my order was ready at the window. I would never go back to this Starbucks again or recommend. Slow service. They were clearly talking gossip nothing work related or premier customer service.,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Erika Buchtel,2021-06-10,5,"I went through the drive thru today and didn’t know what I wanted. I told the barista to surprise me. She made me her favorite drink, and it was delicious. She was also the sweetest lady with the cutest hair bow. I appreciated your kindness today! It made my week.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Mary Ann Claus,2023-06-10,5,"This is one of my favorite locations in the entire country. The staff is sweet, the drinks are wonderful, there's never a long wait, and it's always well kept inside.

Always good vibes, every time we come.",Food:5 | Service:5 | Atmosphere:5
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Livia Taylor,2020-06-10,1,"This Starbucks has got to be the most inefficient Starbucks I’ve ever been too. It’s always out of stuff, I’ve had two mobile orders that ‘have been taken by others’ and I’ve had to rudely ask where my drinks are. The drive thru is always a million cars long. Management needs to get there flow correct to be able to help it’s customers.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",CR B,2022-06-10,3,"Coffee is usually pretty good. Espresso is just not that good. I'd rather have the espresso from my Nespresso machine. Also oh, I have pretty much given up buying from places but try to get too political. Selling me a product doesn't give you any right to tell me how to think or what to think. Just focus on selling me a great product with great service and we will get along fine.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Allen Simon,2021-06-10,5,"I want to compliment the staff at this Starbucks coffee shop, after ordering a coffee & cinnamon bun, having a seat at a table enjoying quiet time I realized not having my I-pad, I know or thought I had it with me? I stood looking down the counter nothing. Being a senior I do forget at times. When I got. Home realizing I don't have it I returned to the shop asking if an I-pad found the gentleman behind counter reached over, with my pad. Thanking him ? Offering a reward he said no thanks glad it was returned. Well thank you thank you, thank you, I enjoyed the rest of my day.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Haley Stonaker,2020-06-10,4,"this is always my go to Starbucks. Danny, Cole, and Elizabeth are the best workers. But there is one associate at Starbucks who never shows decency to his customers, Thomas. Who is always nothing but rude to me when i show the highest of respect when i go to the establishment. He never shows quality customer service and should learn to be kinder to customers and should take a moment out of day to ask how their day is.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Christine Munoz,2020-06-10,2,"Well....the pros are it’s spacious and there is usually seating with a big parking lot. The major con is that the staff appears young enough to require adult supervision. Lots of joking/screaming between the staff, borderline racist talk and open use of profanity. Near shocking to be honest. I’ll be calling to speak to the manager on Monday and considering calling corporate. Can’t even say the one on federal is better, but I guess I can’t compare to NYC where adults are hired and NEED their jobs.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Caylee Weintraub,2024-08-13,5,"Excellent, fast service. Alaina gave me amazing drink recommendations with very pleasant service and I had a delicious chai!",Food:5 | Service:5 | Atmosphere:5
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Rebecca Mongolai,2021-06-10,1,Nick was not a good order taker. He repeatedly kept asking what we ordered because he forgot and kept saying they didn’t have certain ingredients when the drinks are literally made with them so I couldn’t get what I wanted. Once we got to the window he then again asked us what we ordered. He gave my friend whipped cream when she specifically said NO whipped cream for medical reasons. He forgot my other friends pumpkin bread. And gave them both wrong sized drinks. This whole ordeal took about 15 minutes. And the matcha had way too much in it I could taste the powder even after mixing it.,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Rugged Life Handmade Crystal Jewelry,2023-06-10,5,I like the area for sitting both inside and out and the customer service is great! My was extra kind and made sure my drink was made the way I like it! Please take care of the partners! They’re the best 💁🏻‍♀️ thank you …,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Isla Hammel,2022-06-10,3,"I ordered a small Strawberry Refresher & a Bagel. I got my Strawberry Refresher with no problems, meanwhile I noticed the bagel was taking a while. I checked my order, “Items in order, 1” I was surprised because the guy claimed EVERYTHING I said. I went and asked, but he never actually said he was getting the bagel ready. I payed $6.00. Overpriced.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Robert Inderlin,2023-06-10,3,The only attribute this location offers is a good cup of coffee (latte). The music is always excessively loud. There is no comfortable seating. Barristas make no attempt to get to know the patrons. This location continues to disappointment.,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Brittany Allen,2020-06-10,2,"I seriously hate when I have to come to this location, they’re constantly out of stock of certain items, don’t change their menu to reflect availability, long lines, & have messed up my order multiple times. Will probably just take the extra 5 mins to drive to the Stuart one for now on. Only reason I have the extra star is because one of the employees there is always very friendly and accommodating, but other than that save your time and go elsewhere.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Ava Carino,2021-06-10,1,Terrible service and rude workers. We waiting 20+ minutes just to not have what we asked for. Our drink was sitting in the back for over 10 minutes and worker laughed when it was handed to us. We asked for a spoon and they didn’t know how to offer it to us so we just didn’t get one and workers went back to doing there own thing. Go to a different Starbucks where you can here them speak to you. This place sucks!,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",m beary,2023-06-10,5,Love Starbucks.  Don't like their inability to call a small coffee SMALL.  Next time I'll try ordering by ounces.  That is the only issue I have with them.,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Logan Roeck,2019-06-11,5,Honestly my favorite Starbucks location. I work in the same plaza and I am at Starbucks probably everyday. I’m always greeted and treated so nicely from EVERY SINGLE employee. Love love love you guys! Keep up the great work.,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Jay Universal94,2025-04-10,5,New location is beautiful and I love it,Food:5 | Service:5 | Atmosphere:5
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Heather,2022-06-10,1,The guy taking drive through orders was talking through a mask and you couldn't understand anything he was saying. Then he got our order wrong (whip when we said no whip on one drink and no coffee in our frappuccino for the other). A few days later when I returned I went inside to avoid the drive through and the music was so loud the girl taking my order couldnt even hear me. I asked for an iced mocha and got a white mocha. Get it together people!!,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Scott Rang,2019-06-11,1,"Myself and another Customer arrived right at closing Sunday evening. The staff made amusement as I walked up to the front door, even though the web said closed at 9pm. The gentleman pointed at the sign. AS If I was not smart..unintelligent..just how I felt. I will boycott Starbucks and their products forever. Just like that and there will be no customer service guru save this deal.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Dante Cargnelutti,2024-06-09,1,"Unfriendly staff, dirty store, no napkins available. Only stop if you really need a coffee. Better to walk a few more miles and find a more suitable store.",Food:1 | Service:1 | Atmosphere:1
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Nikki Ash,2023-06-10,2,"Stuff is very nice but it feels like this location is going downhill a bit. Lights are broken and flickering constantly in the main area. Also, the bathroom was disgusting. I decided to go elsewhere for the first time.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Kenneth Burton,2019-06-11,1,I'd been waiting in the drive thru for 10 minutes after the guy couldn't hear me on The speaker.  I finally ordered via the app. Seriously how long can it take to make a cup of coffee? And then they didn't have the breakfast sandwich I ordered that I had paid for on the app and so I had to wait for them to credit it. 20 minutes from start to finish recording in my Google Maps,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Julie M.,2023-06-10,5,"I have Been going to This StarBucks location in Palm city since Day one!
The Service is Great!! “James” Shift Manager Good Fit For this Location!
Great Customer Service! : )) thank you!!",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Lisa Vasquez,2023-06-10,5,Well I think the Starbucks in Palm City is absolutely terrific with her customer service and handling the busy drive-through location. I’m just very surprised that they’re closed right now due to the boil water in Palm City. You would think a corporation of this size would have some kind of contingency plan in place.,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Mary Sweeney,2021-06-10,1,"Woman's bathroom was disgusting. There was pee all over the seat and when I told this tall young man,(employee) about it, his response was ""well we clean it every night!"" Might want to consider cleaning it during the day too....",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",L K,2017-06-11,2,"So I decided to treat myself today cause this week has been very long. I preordered Starbucks on my way into work, picked it up in the drive thru, and proceeded on my way. Decided to read the label before drinking it and thank god cause it literally would have killed me (allergies). I told you my name was Laurel you repeated it back then gave me a drink for Merry. Seriously. So I tried to call the place but apparently the mobile customer I dialed isn't available right now so they need to update both the app and google cause that's some crap. So ultimately I'm going to have to wait till after work, go back there, take the espresso drink I didn't order in and return it and get my card refunded because no way can I drink espresso after 3pm.

This is the second time I've been to this Starbucks but the first mobile order. Needless to say not impressed.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Charlie Bean,2024-06-09,5,One of the best crew of baristas that we've encountered.  We always feel so welcome in-store and in the drive-thru!,Food:5 | Service:5 | Atmosphere:5
"3036 SW Martin Downs Blvd, Palm City, FL 34990",steve seravalli,2023-06-10,3,"I’ve had better Starbucks is usually on the money, but this is the first time I wasn’t very happy with the product they put out I don’t know if they’re just new rules or they didn’t understand how to make a flat white but I wasn’t very happy",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",KaotixMusic,2022-06-10,2,This Starbucks has like 1 person making orders while everyone else is messing around (as I’m watching with my own eyes right now) with a drive thru backed up soooo far back and atleast 10 people inside waiting here for 15 mins for their orders. I’ve been to a crowded Black Rifle Coffee Company shop in the middle of Knoxville Tennessee on a Saturday afternoon that got me my order faster with the same amount of people behind the counter,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Karen Cantor,2021-06-10,5,Love the fall featured menu. Hooked on my iced pumpkin spice latte,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Theo Mcbride,2019-06-11,4,Love Starbucks!! The employee behind the counter though seemed very annoyed and probably was having a bad day. Place was clean and well maintained but employees like that will drive away business and with 5 locations in this area I guess they are fine with it,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Erick Day,2022-06-10,4,"Love Starbucks, but their prices are crazy. That's the only reason for the four stars. Coffee is almost always spot on perfect and the staff is friendly and helpful.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Jane Fox,2023-06-10,5,Loved the little samples they came around with. Prompted me to try one of Starbucks ice tea 😋 My favorite is still your Mango Dragonfruit Refresher w/ lemonade😋,Food:5 | Service:5 | Atmosphere:5
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Izzy Bella,2022-06-10,5,"Very nice staff and fantastic service, Jesse was super helpful and handled my (admittedly complicated) order so quickly and made my drink PERFECT. This location is kinda out of my way but I'll drive extra to see him !! :D",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Ron Hayes,2020-06-10,2,"Unfortunately I work very close to this location and just out of convenience I use it. Three to four days out of the week they run out of coffee and make no attempt to brew coffee until customer arive. Additionally they are out of cup sleeves. stir sticks, napkins and cream. This is a poorly run location. It desperately needs upper management attention",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",kathleen milam,2019-06-11,5,"I go to this location literally everyday on my way to work. Right outside my neighborhood and the staff is amazing!! Chris, suzi, cari, woody and the list can go on! You all are so welcoming  and warm every time I pull up! Keep up the good work guys!!!",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Rcklove3,2021-06-10,5,Hands down the best Starbucks I went to! They are very quick and have very kind staff and definitely know how to make their drinks right every time! I highly recommend this location!,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Jayden Jimenez,2024-06-09,2,They forgot to fill a whole quarter of my drink.,Food:2 | Service:3 | Atmosphere:4
"3036 SW Martin Downs Blvd, Palm City, FL 34990",De D.,2019-06-11,5,"There is virtually nothing negative to say about this Starbucks.  Everytime I come the employees are always pleasant and upbeat, the facility is very clean and atmosphere extremely pleasant.  Definitely 5 Stars.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",shaun mcnevin,2021-06-10,1,"It’s faster to drive 15 minutes to the next Starbucks and wait in their drive thru than going to this one. Horribly slow every time and I haven’t seen any others this slow. Guys, just drink the coffee and move your feet.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Ashley Kuriakose,2024-06-09,1,"Rude staff, coffee tasted burnt and no couches. They hide the sugar and stirs behind the counter.",Food:1 | Service:1 | Atmosphere:1
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Keila Garcia,2021-06-10,5,100% satisfied!!! I ordered 10 drinks via the Starbucks app for in store pick up. All made perfect to order. Great customer service.,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Noah Hogan,2024-06-09,1,Customer service was terrible got my order wrong twice and the began to talk about me when I complained and asked them to make another one. Very disappointing!!,Food:3 | Service:1 | Atmosphere:1
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Akane ST,2019-06-11,1,"One of the employees (cashiers) were very rude, didn’t even greet us. When I went to order he seemed to not of heard me. He had AirPods in and gave me a “huh” as a respond and put in the wrong order. I wouldn’t even give a 1 star.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Zyer,2021-06-10,1,"Absolutely terrible, every single time I go there they can not Make my drink right at all. How do you forget to put vanilla in a freaking vanilla iced coffee... every single time. 10/10 would not recommend.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Anahi Ponce,2024-09-12,5,Everyone is always very nice even when they’re hectic busy.,Food:5 | Service:5 | Atmosphere:5
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Erin Knight,2017-06-11,4,Nice setup and having a drive thru in Palm City is a must!,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Dominic Vario,2017-06-11,5,"I frequently place large orders for my office here and the staff are always cheery and helpful. Once in a blue moon, they'll get an order wrong, but nothing out of the realm of human error.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Carly Batts,2019-06-11,5,Just got the Cinnamon Shortbread with a recommended twist from Kionn in the drivethru it was AMAZING! Always love coming to this Starbucks the staff is super friendly and happy to help your day go right!,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Kelsey Donaho,2018-06-11,5,Great staff at this location. Definitely my favorite Starbucks to go to. Always get the order right and are super friendly.,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",ava starzyk,2022-06-10,1,"They don’t know how to make cold foam, don’t get the orders right and don’t care. Clueless in there and it’s so upsetting! We went back twice and asked for our drinks correctly and they still didn’t get it right.",
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Brittany Riddle,2022-06-10,1,Absolutely terrible every time I have gone here. The staff is rude and at least one of my drinks is messed up every single time. I will not be going to this location ever again.,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",Joe Cardwell,2024-06-09,5,Fun time with friends great coffee and sweet treats. Friendly staff especially Sam one of the baristas,Food:4 | Service:5 | Atmosphere:4
"3036 SW Martin Downs Blvd, Palm City, FL 34990",K Fo,2020-06-10,5,Latte was very good and classic coffee cake was exceptional! Keep up all the great smiles and greetings- always a happy place 👌 …,
"3036 SW Martin Downs Blvd, Palm City, FL 34990",demi Mabo,2019-06-11,1,They dont know how to make iced coffee with foam. Freddo Cappuccino as they say in Europe. They re doing it all wrong and as a result of that I drunk milk with cappuccino and creaspy sugar on the bottom of the glass with foam which disappeared in 1 minute. First of all they should not put pure milk inside cappuccino. Only foam...and many other...,
